year,iso2,msi_raw,msi_smoothed
2012,CA,0.52238123254439,0.5454707306816002
2013,CA,0.5341300134336495,0.5231444482646713
2014,CA,0.5990609991391418,0.5624932398509962
2015,CA,0.49373924051792195,0.5487835629229038
2016,CA,0.4807978529808218,0.526021867723185
2017,CA,0.5299858774943026,0.5275427967131675
2018,CA,0.5571332766123651,0.5321434493489107
2019,CA,0.5420621198498201,0.5207436734910462
1975,DE,0.6237366510092748,0.6009741396063323
1976,DE,0.7055935944872049,0.6244802031470662
1977,DE,0.6403122579045022,0.6219538386250969
1978,DE,0.6590045549346043,0.63394345895405
1979,DE,0.5669316125452417,0.6391157341761656
1980,DE,0.4983748808847117,0.614043380151253
1981,DE,0.48331452414960396,0.5695875660837328
1982,DE,0.5475450731076018,0.5510341291243528
1983,DE,0.6403281366515301,0.5472988454677379
1984,DE,0.616387491848708,0.5571900213284311
1985,DE,0.6800646646827414,0.593527978088037
1986,DE,0.6890462214829496,0.6346743175547062
1987,DE,0.5742209946244072,0.6400095018580673
1988,DE,0.6738637359518395,0.6467166217181292
1989,DE,0.7467131735821682,0.6727817580648212
1990,DE,0.6703489189577454,0.6708386089198219
1991,DE,0.5643840881397022,0.6459061822511725
1992,DE,0.4941260392999255,0.6298871911862761
1993,DE,0.4709173012662148,0.5892979042491512
1994,DE,0.5551942895231321,0.550994127437344
1995,DE,0.5514371819183022,0.5272117800294553
1996,DE,0.512904100372979,0.5169157824761107
1997,DE,0.5556146118713381,0.5292134969903932
1998,DE,0.517519454110369,0.538533927559224
1999,DE,0.46676785630645556,0.5208486409158888
2000,DE,0.5186720860758526,0.5142956217473988
2001,DE,0.44491987938087607,0.5006987775489783
2002,DE,0.4160226487692412,0.4727803849285589
2003,DE,0.40733817973685105,0.45074413005385533
2004,DE,0.5518978974327159,0.46777013827910735
2005,DE,0.5707092889778449,0.47817757885950585
2006,DE,0.6279960404305087,0.5147928110694323
2007,DE,0.6451747045232858,0.5606232222202413
2008,DE,0.5818392205254964,0.5955234303779704
2009,DE,0.46279038743265355,0.5777019283779579
2010,DE,0.6814194531469552,0.59984396121178
2011,DE,0.703096648883264,0.614864082902331
2012,DE,0.6838405070344633,0.6225972434045665
2013,DE,0.6982766503751616,0.6458847293744995
2014,DE,0.7211660850154913,0.697559868891067
2015,DE,0.7122030812752274,0.7037165945167215
2016,DE,0.6479294340676989,0.6926831515536085
2017,DE,0.7352454714120089,0.7029641444291176
2018,DE,0.6815010788858098,0.6996090301312472
2019,DE,0.6716338856338177,0.6897025902549125
1973,FR,0.7193541533987975,0.7231852475966748
1974,FR,0.47680584435445217,0.6698675271595527
1975,FR,0.5769601024632873,0.6353717191862389
1976,FR,0.5734397442819086,0.6075475752821655
1977,FR,0.5573673044401625,0.5807854297877216
1978,FR,0.7017124421319261,0.5772570875343473
1979,FR,0.6335749944890099,0.6086109175612588
1980,FR,0.4719792568453105,0.5876147484376635
1981,FR,0.45624314711632064,0.564175429004546
1982,FR,0.4921663288700753,0.5511352338905284
1983,FR,0.5790335446391479,0.5265994543919728
1984,FR,0.5962701444309657,0.5191384843803639
1985,FR,0.6217188860239634,0.5490864102160946
1986,FR,0.725086645523201,0.6028551098974707
1987,FR,0.6183242978504566,0.6280867036935469
1988,FR,0.6168336443372903,0.6356467236331754
1989,FR,0.685214239225077,0.6534355425919977
1990,FR,0.5977327772742979,0.6486383208420645
1991,FR,0.5666549488568793,0.6169519815088002
1992,FR,0.5713246578103939,0.6075520535007877
1993,FR,0.5656066380378468,0.597306652240899
1994,FR,0.5802328062551825,0.5763103656469201
1995,FR,0.5422326590444053,0.5652103420009416
1996,FR,0.6052553786097316,0.5729304279515121
