year,iso2,msi_raw,msi_smoothed,sc
1970,GB,0.8361820728544465,0.8352987914142206,ic
1971,GB,0.8526654109283176,0.8437942672798613,ic
1972,GB,0.7483088276000385,0.8346412526080478,ic
1973,GB,0.6706486141013998,0.7886794527555667,ic
1974,GB,0.5373392206847327,0.729028829233787,ic
1975,GB,0.6132525065271639,0.6844429159683305,ic
1976,GB,0.7113999347036222,0.6561898207233916,ic
1977,GB,0.7344062212074546,0.6534092994448748,ic
1978,GB,0.7771958868862903,0.6747187540018528,ic
1979,GB,0.6611638572675638,0.699483681318419,ic
1980,GB,0.580394628652873,0.6929121057435608,ic
1981,GB,0.6456762627150576,0.6797673713458477,ic
1982,GB,0.6479546702518486,0.6624770611547265,ic
1983,GB,0.686686325415369,0.6443751488605421,ic
1984,GB,0.6000447748624629,0.6321513323795219,ic
1985,GB,0.668081564440542,0.6496887195370558,ic
1986,GB,0.6144222661850194,0.6434379202310481,ic
1987,GB,0.6444306140028605,0.6427331089812505,ic
1988,GB,0.5232930686413024,0.6100544576264371,ic
1989,GB,0.5469198582647712,0.5994294743068987,ic
1990,GB,0.4956382262592296,0.5649408066706363,ic
1991,GB,0.4920101717125005,0.5404583877761325,ic
1992,GB,0.4470642205689318,0.5009851090893468,ic
1975,IT,0.5567656810007731,0.5247144489187807,ic
1976,IT,0.6813710448685733,0.5585379652647919,ic
1977,IT,0.6867230030746977,0.5924574976426484,ic
1978,IT,0.7541345421766606,0.6227660853719298,ic
1979,IT,0.8167555919782139,0.6991499726197836,ic
1980,IT,0.6873399728397038,0.7252648309875698,ic
1981,IT,0.6855161060079802,0.7260938432154512,ic
1982,IT,0.6712084271732697,0.7229909280351657,ic
1983,IT,0.7050790004840111,0.7131798196966359,ic
1984,IT,0.6392471229273704,0.6776781258864674,ic
1985,IT,0.6557750572594662,0.6713651427704198,ic
1986,IT,0.6807726121068676,0.6704164439901973,ic
1975,JP,0.5937447218357457,0.6798164617893591,ic
1976,JP,0.6610367342026362,0.6539337738888394,ic
1977,JP,0.7124241527268136,0.6237547251811237,ic
1978,JP,0.7337808524528723,0.6368785169882754,ic
1979,JP,0.6652715996121765,0.6732516121660487,ic
1980,JP,0.5885036792723117,0.6722034036533617,ic
1981,JP,0.648408022174908,0.6696776612478161,ic
1982,JP,0.5809345529423298,0.6433797412909193,ic
1983,JP,0.5782453021114579,0.6122726312226365,ic
1984,JP,0.5962618599695406,0.5984706832941094,ic
1985,JP,0.6020474114176186,0.6011794297231707,ic
1986,JP,0.5199892010652368,0.5754956655012365,ic
1962,US,0.7403959049426924,0.7253740718441601,ic
1963,US,0.7516963610778781,0.7410432962574067,ic
1964,US,0.7862705581260957,0.7401559505091903,ic
1965,US,0.7765914117262015,0.7527491716261107,ic
1966,US,0.7816817046799067,0.7673271881105548,ic
1967,US,0.7282682291346217,0.7649016529489407,ic
1968,US,0.7838325318040815,0.7713288870941815,ic
1969,US,0.7545240007518306,0.7649795756193283,ic
1970,US,0.6380661357756819,0.7372745204292244,ic
1971,US,0.7276505494885712,0.7264682893909572,ic
1972,US,0.7135509133725342,0.7235248262385396,ic
1973,US,0.6461203409274554,0.6959823880632144,ic
1974,US,0.4244338810131836,0.629964364115485,ic
1975,US,0.5346969957048311,0.6092905361013148,ic
1976,US,0.6878991609254663,0.6013402583886938,ic
1977,US,0.5398425068092076,0.5665985770760285,ic
1978,US,0.5148368165803336,0.540341872206604,ic
1979,US,0.4668317327915317,0.5488214425622736,ic
1980,US,0.45492729857786607,0.5328675031368807,ic
1981,US,0.5496965581435351,0.5052269825804944,ic
