year,iso2,msi_raw,msi_smoothed
2003,DE,0.44999499961680645,0.48998587819894046
2004,DE,0.564116434762739,0.5034493119256637
2005,DE,0.582965609290643,0.5076747199594501
2006,DE,0.643330030953559,0.5390911717346768
2007,DE,0.6474083409771009,0.5775630831201699
2008,DE,0.5951099162658693,0.6065860664499825
2009,DE,0.4875810129980275,0.5912789820970402
2010,DE,0.6877221635646777,0.6122302929518472
2011,DE,0.7054944319256804,0.6246631731462714
2012,DE,0.6911153253155344,0.6334045700139581
2013,DE,0.72720624411865,0.6598238355845143
2014,DE,0.7442900728829492,0.7111656475614987
2015,DE,0.733184701320256,0.7202581551126144
2016,DE,0.6697626777968021,0.7131118042868386
2017,DE,0.766831383725824,0.7282550159688965
2018,DE,0.7174401469454719,0.7263017965342609
2019,DE,0.7086239701757082,0.7191685759928126
1973,FR,0.6958245629971533,0.71011573368459735
1974,FR,0.4647623904749376,0.6560080371092287
1975,FR,0.5388605331512726,0.6153824168499513
1976,FR,0.5404258543317029,0.5835321991074205
1977,FR,0.5145299500351912,0.5508806581980515
1978,FR,0.6206077341085401,0.5358372924203288
1979,FR,0.5822597915105135,0.5593367726274441
1980,FR,0.4276943113404579,0.5371035282652812
1981,FR,0.40326070924931856,0.5096704992488043
1982,FR,0.4425952561627352,0.49528356047431304
1983,FR,0.524202301925014,0.4760024740376078
1984,FR,0.5382297271004335,0.46719646115559177
1985,FR,0.5740577633865488,0.49646915156481003
1986,FR,0.6957933050909224,0.5549756707331308
1987,FR,0.606016729709568,0.5876599654424973
1988,FR,0.6050946506829514,0.6038384351940848
1989,FR,0.6780488683813938,0.6318022634502769
1990,FR,0.5999514144801212,0.6369809936689913
1991,FR,0.5815806588358112,0.6141384644179692
1992,FR,0.5846504176718261,0.6098652020104207
1993,FR,0.5851572608045236,0.6058777240347352
1994,FR,0.6020028353632481,0.590668517431106
1995,FR,0.5609775970758534,0.5828737539502524
1996,FR,0.6097928823099714,0.5885161986450844
1997,FR,0.6790790031797949,0.6074019157466782
1998,FR,0.711887261504854,0.6327479158867444
1999,FR,0.7220930650244892,0.6567659618189926
2000,FR,0.7197921891986478,0.6885288802435514
2001,FR,0.6384875970712061,0.6942678231957983
2002,FR,0.6196466051431284,0.682381343588465
2003,FR,0.5945260463807549,0.6589091005636452
2004,FR,0.6308547689834951,0.6406614413554463
2005,FR,0.5788715905109021,0.6124773216178971
2006,FR,0.6174469507428446,0.6082691923522248
2007,FR,0.6287157160081723,0.6100830145252336
2008,FR,0.4905680068164824,0.5892914066123791
2009,FR,0.3990858189923857,0.5429376166141573
2010,FR,0.5967672632203503,0.5465167511560469
2011,FR,0.5756710967287468,0.5381615803532274
2012,FR,0.5018668401206333,0.5127918051757195
2013,FR,0.5288402597051778,0.5204462557534587
2014,FR,0.5055617187472327,0.541741435704428
2015,FR,0.5138248769047412,0.5251529584413063
2016,FR,0.5052472298297999,0.5110681850615169
2017,FR,0.5820424329932994,0.5271033036360502
2018,FR,0.5630219158718923,0.533939634869393
2019,FR,0.5814217247249805,0.5491116360649426
1967,GB,0.8454508375559964,0.8655525635016861
1968,GB,0.9251733894789532,0.869924760448788
1969,GB,0.8509153121738391,0.8626650618413256
1970,GB,0.8391559922197807,0.8626043426448089
1971,GB,0.8490936675262089,0.8619578397909556
1972,GB,0.7688375811719377,0.8466351885141439
1973,GB,0.6929337904738091,0.8001872687131151
1974,GB,0.5822689517447233,0.7464579966272918
1975,GB,0.6519343622723128,0.7090136706377981
1976,GB,0.7347538817901322,0.6861457134905827
1977,GB,0.7606533367641959,0.6845088646090345
1978,GB,0.7898128661065492,0.7038846797355826
1979,GB,0.6883132188936459,0.7250935331653672
1980,GB,0.6162516254752823,0.7179569858059611
1981,GB,0.6890658418251812,0.7088193778129709
1982,GB,0.6963649967827125,0.6959617098166742
1983,GB,0.7469150483834384,0.687382146272052
1984,GB,0.6830045707250247,0.6863204166383278
1985,GB,0.7194732640204009,0.7069647443473513
1986,GB,0.7073558331857686,0.7106227426194689
1987,GB,0.7251837127671314,0.7163864858163528
1988,GB,0.6212170695244295,0.6912468900445511
1989,GB,0.6429427787074925,0.6832345316410446
1990,GB,0.6024537209583625,0.6598306230286368
1991,GB,0.60030943028578,0.6384213424486391
1992,GB,0.5879802526692257,0.610980650429058
1993,GB,0.6373689140090668,0.6142110193259855
1994,GB,0.6898916411453703,0.6236007918135611
1995,GB,0.6854712789222515,0.6402043034063388
1996,GB,0.7193753034119172,0.6640174780315663
1997,GB,0.773767259694528,0.7011748794366266
1998,GB,0.7394134503120662,0.7215837866972263
1999,GB,0.6904058853544763,0.7216866355390474
2000,GB,0.6850640058857428,0.7216051809317457
2001,GB,0.6750972627801082,0.7127495728053839
2002,GB,0.623745909264894,0.6827453027194571
2003,GB,0.6483536544438593,0.6645333435458158
2004,GB,0.6730121662786126,0.6610545997306432
2005,GB,0.6742961644587342,0.6589010314452415
2006,GB,0.6524209889933354,0.654365776687887
2007,GB,0.6030531111963515,0.6502272170741785
2008,GB,0.46332670943668,0.6132218280727426
2009,GB,0.45169281453902754,0.5689579577248256
2010,GB,0.6336503332753731,0.5608287914881533
2011,GB,0.6028214919939316,0.5509088920882727
2012,GB,0.581980995486894,0.5466944689463812
2013,GB,0.6032980099840064,0.5746887290558464
2014,GB,0.630535546872314,0.6104572755225037
2015,GB,0.6301766564917501,0.6097625401657792
2016,GB,0.6355471803923916,0.6163076778454712
2017,GB,0.6885834891876665,0.6376281765856258
2018,GB,0.6649738274701742,0.6499633400828595
2019,GB,0.6717163153477068,0.6581994937779381
1975,IT,0.5385398381653181,0.5855807672535442
1976,IT,0.612680021145428,0.5719392862139825
1977,IT,0.6201583674771731,0.5607281359789617
